Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,1.261500,1.264300,1.260320,1.261500,1.261500,0
2022-04-19,1.260020,1.264530,1.256900,1.260020,1.260020,0
2022-04-20,1.260370,1.262250,1.247370,1.260370,1.260370,0
2022-04-21,1.248620,1.252680,1.245900,1.248620,1.248620,0
2022-04-22,1.258910,1.272350,1.258400,1.258910,1.258910,0
2022-04-25,1.272100,1.277630,1.271900,1.272100,1.272100,0
2022-04-26,1.273560,1.282580,1.268200,1.273560,1.273560,0
2022-04-27,1.280610,1.285320,1.277830,1.280610,1.280610,0
2022-04-28,1.281400,1.287880,1.279970,1.281400,1.281400,0
2022-04-29,1.280460,1.281720,1.271980,1.280460,1.280460,0
2022-05-02,1.285300,1.291240,1.284600,1.285300,1.285300,0
2022-05-03,1.287400,1.289330,1.282600,1.287400,1.287400,0
2022-05-04,1.283380,1.284930,1.280300,1.283380,1.283380,0
2022-05-05,1.273720,1.284900,1.271300,1.273720,1.273720,0
2022-05-06,1.282700,1.289480,1.281420,1.282700,1.282700,0
2022-05-09,1.291820,1.299110,1.290890,1.291820,1.291820,0
2022-05-10,1.300840,1.303670,1.296400,1.300840,1.300840,0
2022-05-11,1.303120,1.303590,1.292130,1.303120,1.303120,0
2022-05-12,1.299440,1.305860,1.297730,1.299440,1.299440,0
2022-05-13,1.302310,1.302900,1.292540,1.302310,1.302310,0
2022-05-16,1.290700,1.298040,1.287970,1.290700,1.290700,0
2022-05-17,1.285000,1.285380,1.280670,1.285000,1.285000,0
2022-05-18,1.280810,1.285430,1.279630,1.280810,1.280810,0
2022-05-19,1.288420,1.288600,1.278350,1.288420,1.288420,0
2022-05-20,1.281960,1.284450,1.277700,1.281960,1.281960,0
2022-05-23,1.281200,1.281800,1.276890,1.281200,1.281200,0
2022-05-24,1.278710,1.287130,1.278020,1.278710,1.278710,0
2022-05-25,1.282240,1.288000,1.280900,1.282240,1.282240,0
2022-05-26,1.282020,1.284670,1.277760,1.282020,1.282020,0
2022-05-27,1.277300,1.278130,1.272840,1.277300,1.277300,0
2022-05-30,1.272370,1.272530,1.265020,1.272370,1.272370,0
2022-05-31,1.265520,1.268550,1.263010,1.265520,1.265520,0
2022-06-01,1.263900,1.267370,1.261500,1.263900,1.263900,0
2022-06-02,1.266530,1.268540,1.257970,1.266530,1.266530,0
2022-06-03,1.256980,1.258700,1.255180,1.256980,1.256980,0
2022-06-06,1.258490,1.259700,1.253590,1.258490,1.258490,0
2022-06-07,1.258000,1.261760,1.254020,1.258000,1.258000,0
2022-06-08,1.253660,1.255740,1.251860,1.253660,1.253660,0
2022-06-09,1.255200,1.265690,1.254900,1.255200,1.255200,0
2022-06-10,1.270270,1.281160,1.268110,1.270270,1.270270,0
2022-06-13,1.279760,1.287950,1.279200,1.279760,1.279760,0
2022-06-14,1.289000,1.294060,1.286750,1.289000,1.289000,0
2022-06-15,1.294480,1.297200,1.291670,1.294480,1.294480,0
2022-06-16,1.287340,1.296790,1.286040,1.287340,1.287340,0
2022-06-17,1.295380,1.307790,1.294110,1.295380,1.295380,0
2022-06-20,1.300050,1.302440,1.298140,1.300050,1.300050,0
2022-06-21,1.298180,1.298420,1.290630,1.298180,1.298180,0
2022-06-22,1.293190,1.299560,1.291920,1.293190,1.293190,0
2022-06-23,1.296380,1.298550,1.293600,1.296380,1.296380,0
