Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,1.443522,1.460984,1.438435,1.443522,1.443522,0
2022-05-13,1.455200,1.456300,1.444000,1.455200,1.455200,0
2022-05-16,1.439640,1.454397,1.436947,1.439640,1.439640,0
2022-05-17,1.434140,1.434000,1.419849,1.434140,1.434140,0
2022-05-18,1.421900,1.432131,1.419000,1.421900,1.421900,0
2022-05-19,1.436988,1.437525,1.414770,1.436988,1.436988,0
2022-05-20,1.420152,1.427600,1.413827,1.420152,1.420152,0
2022-05-23,1.415850,1.416470,1.403371,1.415850,1.415850,0
2022-05-24,1.410640,1.416591,1.407578,1.410640,1.410640,0
2022-05-25,1.407816,1.421240,1.404613,1.407816,1.407816,0
2022-05-26,1.410557,1.416792,1.406272,1.410557,1.410557,0
2022-05-27,1.408690,1.409841,1.395479,1.408690,1.408690,0
2022-05-30,1.396100,1.396980,1.388310,1.396100,1.396100,0
2022-05-31,1.389815,1.398330,1.388233,1.389815,1.389815,0
2022-06-01,1.392250,1.397409,1.383070,1.392250,1.392250,0
2022-06-02,1.394000,1.400270,1.377810,1.394000,1.394000,0
2022-06-03,1.375705,1.387559,1.373230,1.375705,1.375705,0
2022-06-06,1.387940,1.390780,1.382400,1.387940,1.387940,0
2022-06-07,1.391090,1.397077,1.381578,1.391090,1.391090,0
2022-06-08,1.384926,1.393417,1.382280,1.384926,1.384926,0
2022-06-09,1.391500,1.405480,1.389900,1.391500,1.391500,0
2022-06-10,1.408810,1.420394,1.400756,1.408810,1.408810,0
2022-06-13,1.424850,1.444168,1.421770,1.424850,1.424850,0
2022-06-14,1.440590,1.454249,1.434720,1.440590,1.440590,0
2022-06-15,1.451400,1.451820,1.437195,1.451400,1.451400,0
2022-06-16,1.425130,1.439823,1.421500,1.425130,1.425130,0
2022-06-17,1.420354,1.449654,1.420414,1.420354,1.420354,0
2022-06-20,1.438228,1.443626,1.429368,1.438228,1.438228,0
2022-06-21,1.434823,1.441961,1.429593,1.434823,1.434823,0
2022-06-22,1.436410,1.453020,1.436472,1.436410,1.436410,0
2022-06-23,1.448180,1.455630,1.443793,1.448180,1.448180,0
2022-06-24,1.448540,1.451290,1.437400,1.448540,1.448540,0
2022-06-27,1.440220,1.447350,1.439056,1.440220,1.440220,0
2022-06-28,1.444560,1.446380,1.435830,1.444560,1.444560,0
2022-06-29,1.448352,1.457089,1.445070,1.448352,1.448352,0
2022-06-30,1.453390,1.458938,1.446490,1.453390,1.453390,0
2022-07-01,1.449780,1.478070,1.448540,1.449780,1.449780,0
2022-07-04,1.467180,1.471520,1.451379,1.467180,1.467180,0
2022-07-05,1.454800,1.478110,1.450300,1.454800,1.454800,0
2022-07-06,1.472060,1.477607,1.465310,1.472060,1.472060,0
2022-07-07,1.473622,1.478130,1.459900,1.473622,1.473622,0
2022-07-08,1.460067,1.471410,1.454860,1.460067,1.460067,0
2022-07-11,1.460750,1.488560,1.460707,1.460750,1.460750,0
2022-07-12,1.482950,1.489760,1.475230,1.482950,1.482950,0
2022-07-13,1.482140,1.486260,1.469788,1.482140,1.482140,0
2022-07-14,1.485376,1.496289,1.473405,1.485376,1.485376,0
2022-07-15,1.480410,1.488029,1.469400,1.480410,1.480410,0
2022-07-18,1.467400,1.471735,1.458959,1.467400,1.467400,0
2022-07-19,1.468386,1.469940,1.447560,1.468386,1.468386,0
2022-07-20,1.449700,1.452602,1.442981,1.449700,1.449700,0
2022-07-21,1.451930,1.457750,1.445504,1.451930,1.451930,0
2022-07-22,1.444481,1.450221,1.433630,1.444481,1.444481,0
2022-07-25,1.448290,1.452690,1.435800,1.448290,1.448290,0
2022-07-26,1.438600,1.444360,1.432000,1.438600,1.438600,0
2022-07-27,1.439390,1.445900,1.437000,1.439390,1.439390,0
2022-07-28,1.429613,1.437320,1.425300,1.429613,1.429613,0
2022-07-29,1.428400,1.446257,1.422172,1.428400,1.428400,0
2022-08-01,1.429800,1.434800,1.429800,1.432090,1.432090,0
